No.	TOKEN	NE-TAG	NE-EMB	GND-ID	url_id	left	right	top	bottom
0	hinter	O	O	-	0	839	919	835	868
0	dem	O	O	-	0	935	988	835	864
0	Bemühen	O	O	-	0	1004	1140	834	867
0	,	O	O	-	0	1004	1140	834	867
0	Wabbiugton	B-PER	O	-	0	1162	1330	834	868
0	unb	O	O	-	0	274	326	870	901
0	Loͤon	O	O	-	0	353	438	870	901
0	Say	O	O	-	0	448	507	870	902
0	zu	O	O	-	0	542	571	876	902
0	halten	O	O	-	0	604	701	870	902
0	,	O	O	-	0	604	701	870	902
0	dagegen	O	O	-	0	722	840	867	902
0	Lepère	B-PER	O	-	0	867	958	868	902
0	zu	O	O	-	0	992	1022	875	902
0	entfernen	O	O	-	0	1056	1194	867	899
0	,	O	O	-	0	1056	1194	867	899
0	die	O	O	-	0	1220	1263	867	896
0	Ab	O	O	-	0	1275	1330	867	896
0	—	O	O	-	0	1275	1330	867	896
0	—	O	O	-	0	1076	1089	798	801
0	me	O	O	-	0	1076	1089	798	801
0	—	O	O	-	0	1076	1089	798	801
0	—	O	O	-	0	1076	1089	798	801
0	ſicht	O	O	-	0	276	330	904	935
0	ſtecke	O	O	-	0	363	440	904	935
0	,	O	O	-	0	363	440	904	935
0	das	O	O	-	0	473	522	903	931
0	neue	O	O	-	0	556	614	909	931
0	Miniſterium	O	O	-	0	647	815	900	932
0	von	O	O	-	0	848	897	906	930
0	dem	O	O	-	0	931	984	902	930
0	bisher	O	O	-	0	997	1112	900	933
0	dominirenden	O	O	-	0	1149	1330	899	929
0	Einfluß	O	O	-	0	276	381	935	969
0	des	O	O	-	0	423	468	936	964
0	Palais	B-LOC	O	-	0	516	609	934	968
0	Bourbon	I-LOC	O	-	0	648	770	934	962
0	frei	O	O	-	0	814	859	934	966
0	zu	O	O	-	0	900	930	942	968
0	machen	O	O	-	0	971	1073	934	966
0	.	O	O	-	0	971	1073	934	966
0		O	O	-	0	1134	1201	932	962
0	Sein	O	O	-	0	1134	1201	932	962
0	Beſuch	O	O	-	0	1242	1330	933	965
0	bei	O	O	-	0	280	333	969	999
0	Grévy	B-PER	O	-	0	344	433	970	1002
0	am	O	O	-	0	462	503	975	997
0	Sonntag	O	O	-	0	529	648	968	1001
0	Morgen	O	O	-	0	670	778	966	1001
0	um	O	O	-	0	805	848	974	995
0	10	O	O	-	0	873	905	969	995
0	Uhr	O	O	-	0	925	962	967	1000
0	ſoll	O	O	-	0	962	1044	967	1001
0	keinebwegs	O	O	-	0	1069	1217	965	999
0	erbeten	O	O	-	0	1238	1330	966	995
0	ondern	O	O	-	0	287	380	1003	1031
0	—	O	O	-	0	397	429	1016	1021
0	zum	O	O	-	0	447	502	1008	1034
0	erſten	O	O	-	0	519	590	1002	1033
0	Mal	O	O	-	0	608	679	999	1034
0	!	O	O	-	0	608	679	999	1034
0	—	O	O	-	0	697	729	1014	1018
0	freiwillig	O	O	-	0	736	868	999	1034
0	und	O	O	-	0	895	945	1000	1028
0	ziemlich	O	O	-	0	954	1065	999	1033
0	unerwartet	O	O	-	0	1082	1227	1000	1027
0	erfolgi	O	O	-	0	1244	1330	999	1032
0	jein	O	O	-	0	276	335	1031	1067
0	.	O	O	-	0	276	335	1031	1067
0		O	O	-	0	368	417	1035	1064
0	Was	O	O	-	0	368	417	1035	1064
0	zwiſchen	O	O	-	0	419	559	1034	1067
0	den	O	O	-	0	576	621	1033	1061
0	beiden	O	O	-	0	638	719	1033	1061
0	Präſidenten	O	O	-	0	737	895	1032	1066
0	verhandelt	O	O	-	0	920	1059	1033	1066
0	worden	O	O	-	0	1075	1181	1032	1064
0	,	O	O	-	0	1075	1181	1032	1064
0	weiß	O	O	-	0	1209	1272	1031	1063
0	na⸗	O	O	-	0	1288	1331	1038	1059
0	ürlich	O	O	-	0	277	362	1067	1099
0	Niemand	O	O	-	0	382	510	1068	1099
0	,	O	O	-	0	382	510	1068	1099
0	wenn	O	O	-	0	528	598	1072	1096
0	nicht	O	O	-	0	614	675	1065	1098
0	Herr	O	O	-	0	693	755	1066	1099
0	Gambetta	B-PER	O	-	0	765	897	1067	1095
0	ſelbſt	B-PER	O	-	0	914	980	1064	1098
0	es	O	O	-	0	997	1025	1069	1093
0	hinterher	O	O	-	0	1035	1155	1065	1097
0	beim	O	O	-	0	1172	1233	1065	1093
0	Früh	O	O	-	0	1250	1330	1064	1098
0	—	O	O	-	0	1250	1330	1064	1098
0	ftück	O	O	-	0	277	334	1101	1132
0	ſeinem	O	O	-	0	351	437	1099	1132
0	Intimus	O	O	-	0	453	581	1100	1132
0	,	O	O	-	0	453	581	1100	1132
0	dem	O	O	-	0	598	651	1098	1127
0	Schauſpieler	O	O	-	0	669	838	1098	1132
0	Coquelin	B-PER	O	-	0	864	985	1099	1130
0	dbem	O	O	-	0	1012	1065	1098	1126
0	„	O	O	-	0	1091	1256	1097	1131
0	Jüngeren	O	O	-	0	1091	1256	1097	1131
0	“	O	O	-	0	1091	1256	1097	1131
0	von	O	O	-	0	1282	1330	1102	1125
0	ber	O	O	-	0	277	319	1132	1162
0	Comoͤdie	O	O	-	0	347	462	1132	1163
0	françaiſe	O	O	-	0	488	608	1131	1164
0	anvertraut	O	O	-	0	633	775	1134	1160
0	hat	O	O	-	0	801	852	1133	1164
0	.	O	O	-	0	801	852	1133	1164
0		O	O	-	0	885	986	1131	1160
0	Abends	O	O	-	0	885	986	1131	1160
0	im	O	O	-	0	1014	1047	1130	1158
0	Theater	O	O	-	0	1064	1170	1130	1163
0	ſpielte	O	O	-	0	1171	1275	1130	1164
0	der	O	O	-	0	1290	1330	1130	1158
0	Allgewaltige	O	O	-	0	277	445	1166	1200
0	freilich	O	O	-	0	462	549	1165	1198
0	wieder	O	O	-	0	575	661	1164	1193
0	den	O	O	-	0	686	731	1165	1193
0	Unbefangenen	O	O	-	0	749	934	1165	1198
0	und	O	O	-	0	957	1007	1164	1192
0	Ununterrichteten	O	O	-	0	1024	1251	1164	1195
0	,	O	O	-	0	1024	1251	1164	1195
0	denn	O	O	-	0	1268	1329	1163	1191
0	er	O	O	-	0	278	303	1207	1227
0	leugnete	O	O	-	0	321	427	1200	1232
0	ſogar	O	O	-	0	452	522	1199	1231
0	ſeinen	O	O	-	0	550	627	1197	1230
0	Beſuch	O	O	-	0	644	733	1198	1231
0	vom	O	O	-	0	762	818	1203	1226
0	Vormittag	O	O	-	0	847	997	1196	1230
0	,	O	O	-	0	847	997	1196	1230
0	obwohl	O	O	-	0	1026	1123	1198	1229
0	Hunderte	O	O	-	0	1137	1261	1196	1230
0	das	O	O	-	0	1282	1329	1196	1224
0	wohlbekannte	O	O	-	0	277	454	1232	1264
0	kleine	O	O	-	0	477	549	1229	1258
0	Coups	O	O	-	0	567	654	1230	1263
0	Gambettas	B-PER	O	-	0	672	821	1229	1260
0	eine	O	O	-	0	848	898	1230	1259
0	ganze	O	O	-	0	924	997	1236	1263
0	Stunde	O	O	-	0	1015	1114	1228	1258
0	lanc	O	O	-	0	1140	1198	1228	1258
0	von	O	O	-	0	1224	1254	1234	1257
0	der	O	O	-	0	1256	1330	1229	1257
0	geſehen	O	O	-	0	279	372	1298	1330
0	hatten	O	O	-	0	391	481	1298	1328
0	.	O	O	-	0	391	481	1298	1328
0		O	O	-	0	514	566	1297	1325
0	Der	O	O	-	0	514	566	1297	1325
0	Erfolg	O	O	-	0	583	673	1296	1330
0	dieſer	O	O	-	0	690	761	1296	1329
0	Viſite	O	O	-	0	770	845	1296	1328
0	war	O	O	-	0	863	916	1302	1325
0	denn	O	O	-	0	933	995	1296	1323
0	auch	O	O	-	0	1011	1067	1296	1328
0	ſchon	O	O	-	0	1085	1153	1294	1329
0	in	O	O	-	0	1170	1196	1294	1323
0	derſelben	O	O	-	0	1213	1330	1295	1328
0	Zeit	O	O	-	0	277	333	1330	1364
0	zu	O	O	-	0	350	378	1337	1364
0	ſpüren	O	O	-	0	395	489	1329	1362
0	,	O	O	-	0	395	489	1329	1362
0	da	O	O	-	0	506	537	1329	1358
0	derjenige	O	O	-	0	554	690	1329	1363
0	,	O	O	-	0	554	690	1329	1363
0	der	O	O	-	0	698	738	1330	1357
0	ſie	O	O	-	0	755	784	1329	1363
0	gemacht	O	O	-	0	802	913	1330	1363
0	,	O	O	-	0	802	913	1330	1363
0	ſie	O	O	-	0	939	969	1328	1360
0	ableugnen	O	O	-	0	994	1129	1330	1362
0	wollte	O	O	-	0	1146	1235	1328	1356
0	.	O	O	-	0	1146	1235	1328	1356
0		O	O	-	0	1268	1330	1327	1363
0	Herr	O	O	-	0	1268	1330	1327	1363
0	Lepèère	B-PER	O	-	0	276	374	1363	1395
0	,	O	O	-	0	276	374	1363	1395
0	der	O	O	-	0	400	441	1362	1390
0	bereits	O	O	-	0	466	554	1363	1390
0	ſeine	O	O	-	0	583	658	1361	1394
0	Siebenſachen	O	O	-	0	672	846	1361	1394
0	zuſammengepackt	O	O	-	0	870	1096	1361	1395
0	hatte	O	O	-	0	1124	1196	1361	1393
0	,	O	O	-	0	1124	1196	1361	1393
0	weil	O	O	-	0	1225	1280	1360	1389
0	er	O	O	-	0	1307	1330	1368	1388
0	glaubte	O	O	-	0	277	372	1395	1427
0	ausziehen	O	O	-	0	389	519	1395	1428
0	zu	O	O	-	0	538	567	1403	1428
0	müſſen	O	O	-	0	584	675	1395	1428
0	—	O	O	-	0	692	725	1409	1414
0	Freycinet	B-PER	O	-	0	741	868	1395	1428
0	ſelbſt	B-PER	O	-	0	873	958	1394	1427
0	hatte	O	O	-	0	975	1039	1394	1426
0	ihm	O	O	-	0	1056	1107	1395	1424
0	das	O	O	-	0	1125	1172	1394	1422
0	zu	O	O	-	0	1189	1218	1401	1428
0	wieber	O	O	-	0	1235	1330	1393	1422
0	—	O	O	-	0	1235	1330	1393	1422
0	holten	O	O	-	0	276	356	1426	1460
0	Malen	O	O	-	0	374	462	1427	1457
0	in	O	O	-	0	480	506	1428	1457
0	dürren	O	O	-	0	523	611	1429	1456
0	Worten	O	O	-	0	629	731	1429	1456
0	geſagt	O	O	-	0	748	836	1428	1460
0	—	O	O	-	0	852	885	1441	1447
0	Herr	O	O	-	0	902	964	1427	1460
0	Lepre	B-PER	O	-	0	979	1069	1428	1459
0	erhielt	O	O	-	0	1085	1168	1427	1460
0	von	O	O	-	0	1186	1234	1432	1454
0	Gam	O	O	-	0	1252	1329	1427	1455
0	—	O	O	-	0	1252	1329	1427	1455
0	betta	O	O	-	0	275	339	1459	1489
0	die	O	O	-	0	356	395	1460	1489
0	Nachricht	O	O	-	0	412	543	1461	1492
0	,	O	O	-	0	412	543	1461	1492
0	daß	O	O	-	0	560	609	1461	1492
0	er	O	O	-	0	627	651	1469	1489
0	bleiben	O	O	-	0	669	761	1461	1489
0	dürfe	O	O	-	0	784	860	1460	1492
0	.	O	O	-	0	784	860	1460	1492
0		O	O	-	0	894	1043	1460	1492
0	Gleichzeitig	O	O	-	0	894	1043	1460	1492
0	wurde	O	O	-	0	1060	1142	1459	1488
0	Herrn	O	O	-	0	1158	1238	1459	1492
0	Wabd	B-PER	O	-	0	1256	1330	1459	1488
0	—	B-PER	O	-	0	1256	1330	1459	1488
0	dington	B-PER	O	-	0	276	378	1493	1526
0	das	O	O	-	0	405	453	1495	1522
0	Gegentheil	O	O	-	0	480	624	1493	1526
0	bedeutet	O	O	-	0	651	769	1494	1526
0	;	O	O	-	0	651	769	1494	1526
0	den	O	O	-	0	794	839	1494	1521
0	Botſchafterpoſten	O	O	-	0	856	1087	1492	1526
0	in	O	O	-	0	1115	1141	1493	1520
0	London	B-LOC	O	-	0	1158	1261	1492	1521
0	,	O	O	-	0	1158	1261	1492	1521
0	der	O	O	-	0	1268	1331	1492	1524
0	ihm	O	O	-	0	275	327	1525	1557
0	als	O	O	-	0	345	386	1528	1555
0	Entſchädigung	O	O	-	0	405	598	1526	1559
0	angeboten	O	O	-	0	616	750	1528	1559
0	wurde	O	O	-	0	768	856	1527	1556
0	,	O	O	-	0	768	856	1527	1556
0	ſchlug	O	O	-	0	874	949	1526	1559
0	er	O	O	-	0	966	991	1534	1554
0	aus	O	O	-	0	1008	1065	1530	1554
0	.	O	O	-	0	1008	1065	1530	1554
0		O	O	-	0	1100	1140	1525	1553
0	Von	O	O	-	0	1100	1140	1525	1553
0	allen	O	O	-	0	1143	1230	1527	1553
0	dieſen	O	O	-	0	1231	1331	1525	1556
0	Vorgängen	O	O	-	0	280	430	1558	1592
0	erhielt	O	O	-	0	447	538	1559	1591
0	Léon	B-PER	O	-	0	547	617	1558	1588
0	Say	O	O	-	0	635	694	1559	1592
0	erſt	O	O	-	0	717	760	1560	1587
0	in	O	O	-	0	784	810	1560	1587
0	ſpäter	O	O	-	0	837	913	1559	1590
0	Nachmittagsſtunde	O	O	-	0	930	1182	1558	1592
0	Kenutniß	O	O	-	0	1200	1330	1557	1589
0	.	O	O	-	0	1200	1330	1557	1589
0		O	O	-	0	284	349	1591	1621
0	Sein	O	O	-	0	284	349	1591	1621
0	Entſchluß	O	O	-	0	367	496	1591	1624
0	war	O	O	-	0	523	577	1598	1620
0	ſofort	O	O	-	0	604	688	1592	1625
0	gefaßt	O	O	-	0	705	795	1589	1625
0	.	O	O	-	0	705	795	1589	1625
0		O	O	-	0	829	913	1592	1625
0	Gegen	O	O	-	0	829	913	1592	1625
0	6	O	O	-	0	942	958	1596	1619
0	Uhr	O	O	-	0	986	1037	1592	1623
0	Abends	O	O	-	0	1055	1155	1591	1619
0	fuhr	O	O	-	0	1173	1215	1591	1623
0	er	O	O	-	0	1218	1272	1599	1619
0	ins	O	O	-	0	1290	1330	1591	1618
0	Elyſée	O	O	-	0	278	365	1624	1658
0	und	O	O	-	0	387	437	1626	1653
0	legte	O	O	-	0	466	526	1626	1655
0	ſein	O	O	-	0	551	599	1625	1655
0	Portefeuille	O	O	-	0	626	784	1625	1658
0	in	O	O	-	0	811	836	1625	1652
0	Grevys	B-PER	O	-	0	863	961	1624	1658
0	Hände	O	O	-	0	980	1066	1625	1658
0	zurück	O	O	-	0	1094	1181	1624	1657
0	.	O	O	-	0	1094	1181	1624	1657
0		O	O	-	0	1214	1257	1624	1652
0	Da	O	O	-	0	1214	1257	1624	1652
0	zwei	O	O	-	0	1276	1330	1624	1656
0	Stunden	O	O	-	0	276	395	1656	1686
0	ſpäter	O	O	-	0	404	481	1657	1690
0	die	O	O	-	0	489	526	1654	1686
0	Ernennungsdekrete	O	O	-	0	536	790	1657	1690
0	für	O	O	-	0	807	847	1658	1687
0	das	O	O	-	0	861	908	1658	1686
0	neue	O	O	-	0	918	977	1666	1686
0	Miniſterium	O	O	-	0	986	1153	1657	1687
0	ausgefertigt	O	O	-	0	1171	1330	1656	1690
0	Aber	O	O	-	0	325	398	1765	1797
0	,	O	O	-	0	325	398	1765	1797
0	ſo	O	O	-	0	426	451	1764	1797
0	werden	O	O	-	0	470	563	1764	1793
0	Sie	O	O	-	0	582	630	1765	1793
0	fragen	O	O	-	0	648	746	1765	1797
0	,	O	O	-	0	648	746	1765	1797
0	weshalb	O	O	-	0	775	884	1765	1796
0	hatte	O	O	-	0	902	967	1765	1797
0	denn	O	O	-	0	989	1052	1765	1792
0	Herr	O	O	-	0	1069	1131	1764	1797
0	Lepèére	B-PER	O	-	0	1147	1237	1764	1796
0	durch	O	O	-	0	1253	1332	1764	1795
0	—	O	O	-	0	1253	1332	1764	1795
0	aus	O	O	-	0	275	324	1800	1826
0	gehen	O	O	-	0	343	416	1799	1829
0	ſollen	O	O	-	0	434	527	1797	1828
0	?	O	O	-	0	434	527	1797	1828
0		O	O	-	0	560	651	1798	1829
0	Lachen	O	O	-	0	560	651	1798	1829
0	Sie	O	O	-	0	670	705	1797	1826
0	nicht	O	O	-	0	708	804	1798	1829
0	,	O	O	-	0	708	804	1798	1829
0	wenn	O	O	-	0	821	891	1803	1826
0	ich	O	O	-	0	909	941	1798	1829
0	Ihnen	O	O	-	0	958	1045	1798	1829
0	die	O	O	-	0	1064	1100	1798	1825
0	Wahrheit	O	O	-	0	1121	1249	1797	1829
0	ſage	O	O	-	0	1267	1331	1796	1829
0	:	O	O	-	0	1267	1331	1796	1829
0	Freycinet	B-PER	O	-	0	275	400	1831	1863
0	mag	O	O	-	0	418	475	1837	1863
0	ihn	O	O	-	0	493	536	1830	1862
0	nicht	O	O	-	0	553	614	1831	1862
0	—	O	O	-	0	631	664	1845	1849
0	riechen	O	O	-	0	681	777	1831	1863
0	.	O	O	-	0	681	777	1831	1863
0		O	O	-	0	811	862	1831	1859
0	Der	O	O	-	0	811	862	1831	1859
0	jetzige	O	O	-	0	887	963	1831	1863
0	Miniſter	O	O	-	0	980	1095	1830	1861
0	des	O	O	-	0	1116	1158	1831	1857
0	Innern	O	O	-	0	1172	1274	1830	1863
0	hat	O	O	-	0	1291	1331	1831	1862
0	Cigarren	O	O	-	0	276	404	1928	1961
0	,	O	O	-	0	276	404	1928	1961
0	echtes	O	O	-	0	423	497	1930	1961
0	Havannahkraut	O	O	-	0	515	724	1929	1961
0	rauchen	O	O	-	0	740	840	1931	1961
0	wollte	O	O	-	0	859	952	1929	1957
0	!	O	O	-	0	859	952	1929	1957
0		O	O	-	0	984	1066	1929	1957
0	Allein	O	O	-	0	984	1066	1929	1957
0	die	O	O	-	0	1094	1131	1928	1957
0	kann	O	O	-	0	1161	1203	1929	1956
0	hier	O	O	-	0	1206	1290	1928	1960
0	in	O	O	-	0	1307	1330	1928	1956
0	Folge	O	O	-	0	275	352	1961	1994
0	des	O	O	-	0	370	413	1963	1989
0	Monopols	O	O	-	0	431	572	1963	1993
0	nicht	O	O	-	0	599	661	1961	1994
0	einmal	O	O	-	0	679	768	1962	1990
0	ein	O	O	-	0	785	823	1964	1990
0	Miniſter	O	O	-	0	840	954	1962	1994
0	ſich	O	O	-	0	971	1012	1962	1994
0	leiſten	O	O	-	0	1029	1116	1962	1994
0	,	O	O	-	0	1029	1116	1962	1994
0	wenn	O	O	-	0	1143	1213	1967	1990
0	er	O	O	-	0	1230	1241	1969	1989
0	nicht	O	O	-	0	1243	1331	1961	1993
0	nebenbei	O	O	-	0	277	391	1994	2023
0	Millionär	O	O	-	0	402	537	1994	2023
0	von	O	O	-	0	554	602	2000	2022
0	Fach	O	O	-	0	617	680	1995	2027
0	iſt	O	O	-	0	698	733	1995	2026
0	.	O	O	-	0	698	733	1995	2026
0		O	O	-	0	749	812	1996	2027
0	Herr	O	O	-	0	749	812	1996	2027
0	Lepère	B-PER	O	-	0	823	912	1995	2027
0	iſt	O	O	-	0	930	957	1995	2026
0	ein	O	O	-	0	974	1012	1995	2022
0	unvermögender	O	O	-	0	1030	1232	1995	2027
0	Juriſt	O	O	-	0	1242	1331	1994	2027
0	,	O	O	-	0	1242	1331	1994	2027
0	und	O	O	-	0	277	328	2027	2055
0	da	O	O	-	0	345	376	2027	2055
0	er	O	O	-	0	395	420	2035	2055
0	mit	O	O	-	0	437	481	2028	2055
0	dem	O	O	-	0	498	551	2028	2055
0	Dichter	O	O	-	0	569	665	2027	2059
0	der	O	O	-	0	682	723	2028	2055
0	Anſicht	O	O	-	0	739	833	2027	2059
0	huldigt	O	O	-	0	852	960	2027	2059
0	:	O	O	-	0	852	960	2027	2059
0	„	O	O	-	0	986	1098	2028	2059
0	Rauch	O	O	-	0	986	1098	2028	2059
0	iſt	O	O	-	0	1116	1143	2028	2059
0	alles	O	O	-	0	1150	1224	2027	2056
0	ird	O	O	-	0	1242	1331	2028	2059
0	'	O	O	-	0	1242	1331	2028	2059
0	ſche	O	O	-	0	1242	1331	2028	2059
0	Leben	O	O	-	0	275	376	2060	2091
0	,	O	O	-	0	275	376	2060	2091
0	“	O	O	-	0	275	376	2060	2091
0	ſo	O	O	-	0	405	429	2060	2092
0	iſt	O	O	-	0	447	475	2060	2092
0	er	O	O	-	0	492	517	2067	2088
0	auf	O	O	-	0	542	585	2061	2091
0	ſeine	O	O	-	0	603	662	2060	2092
0	Tabakspfeife	O	O	-	0	679	853	2060	2093
0	angewieſen	O	O	-	0	881	1035	2048	2093
0	.	O	O	-	0	881	1035	2048	2093
0		O	O	-	0	1067	1107	2061	2089
0	Es	O	O	-	0	1067	1107	2061	2089
0	iſt	O	O	-	0	1135	1163	2061	2092
0	wahr	O	O	-	0	1179	1255	2061	2092
0	,	O	O	-	0	1179	1255	2061	2092
0	daß	O	O	-	0	1284	1331	2060	2092
0	dieſe	O	O	-	0	275	336	2092	2121
0	Pfeife	O	O	-	0	353	434	2093	2126
0	nicht	O	O	-	0	451	512	2092	2124
0	zu	O	O	-	0	529	558	2099	2126
0	den	O	O	-	0	575	620	2094	2120
0	großen	O	O	-	0	638	730	2093	2126
0	Stummeln	O	O	-	0	747	892	2093	2122
0	gehört	O	O	-	0	910	1001	2093	2126
0	,	O	O	-	0	910	1001	2093	2126
0	welche	O	O	-	0	1027	1109	2095	2126
0	der	O	O	-	0	1125	1166	2093	2121
0	franzöſiſche	O	O	-	0	1183	1332	2093	2125
0	Volksmund	O	O	-	0	275	437	2125	2157
0	,	O	O	-	0	275	437	2125	2157
0	weil	O	O	-	0	455	499	2125	2153
0	er	O	O	-	0	502	551	2125	2153
0	ſich	O	O	-	0	569	609	2126	2158
0	daran	O	O	-	0	627	705	2127	2154
0	zu	O	O	-	0	724	752	2133	2159
0	verbrennen	O	O	-	0	770	917	2126	2154
0	liebt	O	O	-	0	935	998	2128	2159
0	,	O	O	-	0	935	998	2128	2159
0	„	O	O	-	0	1016	1222	2127	2159
0	brüle	O	O	-	0	1016	1222	2127	2159
0	-	O	O	-	0	1016	1222	2127	2159
0	gueule	O	O	-	0	1016	1222	2127	2159
0	“	O	O	-	0	1016	1222	2127	2159
0	getauft	O	O	-	0	1240	1331	2128	2159
0	hat	O	O	-	0	274	325	2158	2189
0	.	O	O	-	0	274	325	2158	2189
0		O	O	-	0	357	406	2158	2191
0	Im	O	O	-	0	357	406	2158	2191
0	Gegentheil	O	O	-	0	425	575	2159	2191
0	,	O	O	-	0	425	575	2159	2191
0	es	O	O	-	0	593	621	2162	2186
0	iſt	O	O	-	0	640	667	2159	2190
0	ein	O	O	-	0	685	723	2159	2187
0	ganz	O	O	-	0	741	804	2167	2191
0	miniſterielles	O	O	-	0	820	996	2159	2191
0	Prachtſtück	O	O	-	0	1014	1167	2147	2191
0	,	O	O	-	0	1014	1167	2147	2191
0	aus	O	O	-	0	1185	1235	2162	2187
0	Meer	O	O	-	0	1252	1331	2159	2187
0	—	O	O	-	0	1252	1331	2159	2187
0	ſchaum	O	O	-	0	276	367	2191	2224
0	und	O	O	-	0	386	435	2192	2219
0	Bernſtein	O	O	-	0	447	574	2191	2224
0	zuſammengeſetzt	O	O	-	0	592	806	2191	2225
0	und	O	O	-	0	820	870	2193	2220
0	ſelbſt	O	O	-	0	883	946	2192	2223
0	größere	O	O	-	0	964	1063	2192	2225
0	Staatsmänner	O	O	-	0	1075	1275	2192	2221
