No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
0	Hunderte	O	O	-	0	646	716	679	699
0	das	O	O	-	0	728	755	679	695
0	wohlbekannte	O	O	-	0	157	258	700	718
0	kleine	O	O	-	0	271	312	698	715
0	Coupé	O	O	-	0	322	371	699	718
0	Gambettas	B-PER	O	Q295090	0	382	466	698	716
0	eine	O	O	-	0	482	510	699	715
0	ganze	O	O	-	0	525	566	702	718
0	Stunde	O	O	-	0	577	633	698	715
0	lang	O	O	-	0	648	681	698	715
0	von	O	O	-	0	695	712	701	714
0	der	O	O	-	0	714	756	698	714
0	Rue	B-LOC	O	-	0	157	189	718	735
0	du	I-LOC	O	-	0	204	222	719	735
0	Faubourg	I-LOC	O	-	0	232	308	718	736
0	St	I-LOC	O	-	0	324	351	718	735
0	.	I-LOC	O	-	0	324	351	718	735
0	Honoré	I-LOC	O	-	0	360	418	718	736
0	aus	O	O	-	0	434	462	720	733
0	im	O	O	-	0	476	496	718	734
0	Vorhof	O	O	-	0	505	562	717	735
0	des	O	O	-	0	577	602	718	733
0	Elyſée	B-LOC	O	Q188190	0	612	661	717	736
0	ſtationiren	O	O	-	0	666	755	703	736
0	geſehen	O	O	-	0	158	211	737	756
0	hatten	O	O	-	0	222	273	737	754
0	.	O	O	-	0	222	273	737	754
0		O	O	-	0	292	321	737	753
0	Der	O	O	-	0	292	321	737	753
0	Erfolg	O	O	-	0	331	382	736	756
0	dieſer	O	O	-	0	392	432	736	755
0	Viſite	O	O	-	0	437	480	736	754
0	war	O	O	-	0	490	520	740	753
0	denn	O	O	-	0	530	565	736	752
0	auch	O	O	-	0	574	606	736	754
0	ſchon	O	O	-	0	616	655	735	755
0	in	O	O	-	0	665	679	735	752
0	derſelben	O	O	-	0	689	756	736	754
0	Zeit	O	O	-	0	157	189	756	775
0	zu	O	O	-	0	198	214	760	775
0	ſpüren	O	O	-	0	224	277	755	774
0	,	O	O	-	0	224	277	755	774
0	da	O	O	-	0	287	305	755	772
0	derjenige	O	O	-	0	314	392	755	774
0	,	O	O	-	0	314	392	755	774
0	der	O	O	-	0	396	419	756	771
0	ſie	O	O	-	0	429	445	755	774
0	gemacht	O	O	-	0	455	519	756	774
0	,	O	O	-	0	455	519	756	774
0	ſie	O	O	-	0	533	550	754	773
0	ableugnen	O	O	-	0	565	641	756	774
0	wollte	O	O	-	0	651	702	754	770
0	.	O	O	-	0	651	702	754	770
0		O	O	-	0	720	756	754	774
0	Herr	O	O	-	0	720	756	754	774
0	Lepère	B-PER	O	Q670573	0	156	212	774	793
0	,	O	O	-	0	156	212	774	793
0	der	O	O	-	0	227	250	774	790
0	bereits	O	O	-	0	264	314	774	790
0	ſeine	O	O	-	0	331	374	773	792
0	Siebenſachen	O	O	-	0	382	480	773	792
0	zuſammengepackt	O	O	-	0	494	623	773	793
0	hatte	O	O	-	0	638	679	773	791
0	,	O	O	-	0	638	679	773	791
0	weil	O	O	-	0	696	727	773	789
0	er	O	O	-	0	743	756	777	789
0	glaubte	O	O	-	0	157	211	793	811
0	ausziehen	O	O	-	0	221	295	793	811
0	zu	O	O	-	0	305	322	797	811
0	müſſen	O	O	-	0	332	383	793	811
0	—	O	O	-	0	393	412	801	803
0	Freycinet	B-PER	O	Q317957	0	421	493	793	811
0	ſelbſt	O	O	-	0	496	544	792	811
0	hatte	O	O	-	0	554	590	792	810
0	ihm	O	O	-	0	600	629	793	809
0	das	O	O	-	0	639	666	792	808
0	zu	O	O	-	0	675	692	796	811
0	wieder	O	O	-	0	702	756	791	808
0	—	O	O	-	0	702	756	791	808
0	holten	O	O	-	0	156	202	810	830
0	Malen	O	O	-	0	212	262	811	828
0	in	O	O	-	0	272	287	811	828
0	dürren	O	O	-	0	297	347	812	827
0	Worten	O	O	-	0	357	415	812	827
0	geſagt	O	O	-	0	425	475	811	830
0	—	O	O	-	0	484	503	819	822
0	Herr	O	O	-	0	512	548	811	830
0	Lepre	B-PER	O	Q670573	0	556	607	811	829
0	erhielt	O	O	-	0	616	664	811	830
0	von	O	O	-	0	674	701	814	826
0	Gam	B-PER	O	Q295090	0	711	755	811	827
0	—	I-PER	O	-	0	711	755	811	827
0	betta	I-PER	O	-	0	156	192	829	846
0	die	O	O	-	0	202	224	830	846
0	Nachricht	O	O	-	0	234	308	830	848
0	,	O	O	-	0	234	308	830	848
0	daß	O	O	-	0	318	346	830	848
0	er	O	O	-	0	356	370	835	846
0	bleiben	O	O	-	0	380	432	830	846
0	dürfe	O	O	-	0	445	488	830	848
0	.	O	O	-	0	445	488	830	848
0		O	O	-	0	508	592	830	848
0	Gleichzeitig	O	O	-	0	508	592	830	848
0	wurde	O	O	-	0	602	649	829	845
0	Herrn	O	O	-	0	658	703	829	848
0	Waddington	B-PER	O	Q548696	0	714	756	829	845
0	das	O	O	-	0	230	257	849	865
0	Gegentheil	O	O	-	0	272	354	848	867
0	bedeutet	O	O	-	0	370	437	849	867
0	;	O	O	-	0	370	437	849	867
0	den	O	O	-	0	451	476	849	864
0	Botſchafterpoſten	O	O	-	0	486	617	848	867
0	in	O	O	-	0	633	648	848	864
0	London	B-LOC	O	Q84	0	658	716	848	864
0	,	O	O	-	0	658	716	848	864
0	der	O	O	-	0	720	756	848	866
0	ihm	O	O	-	0	156	185	866	885
0	als	O	O	-	0	196	219	868	884
0	Entſchädigung	O	O	-	0	230	339	867	886
0	angeboten	O	O	-	0	350	426	868	886
0	wurde	O	O	-	0	436	486	868	884
0	,	O	O	-	0	436	486	868	884
0	ſchlug	O	O	-	0	496	539	867	886
0	er	O	O	-	0	549	563	872	883
0	aus	O	O	-	0	573	605	869	883
0	.	O	O	-	0	573	605	869	883
0		O	O	-	0	625	648	866	882
0	Von	O	O	-	0	625	648	866	882
0	allen	O	O	-	0	649	699	868	882
0	dieſen	O	O	-	0	699	756	866	884
0	Vorgängen	O	O	-	0	159	244	885	905
0	erhielt	O	O	-	0	254	305	886	904
0	Léon	B-PER	O	Q3271322	0	310	350	885	902
0	Say	I-PER	O	Q3271322	0	360	394	886	905
0	erſt	O	O	-	0	407	432	886	902
0	in	O	O	-	0	445	460	886	902
0	ſpäter	O	O	-	0	475	519	886	903
0	Nachmittagsſtunde	O	O	-	0	528	671	885	905
0	Kenntniß	O	O	-	0	682	756	885	903
0	.	O	O	-	0	682	756	885	903
0		O	O	-	0	161	198	904	921
0	Sein	O	O	-	0	161	198	904	921
0	Entſchluß	O	O	-	0	208	281	904	923
0	war	O	O	-	0	297	328	908	920
0	ſofort	O	O	-	0	343	391	905	923
0	gefaßt	O	O	-	0	400	451	903	923
0	.	O	O	-	0	400	451	903	923
0		O	O	-	0	471	519	905	923
0	Gegen	O	O	-	0	471	519	905	923
0	6	O	O	-	0	535	544	907	920
0	Uhr	O	O	-	0	560	589	905	922
0	Abends	O	O	-	0	599	656	904	920
0	fuhr	O	O	-	0	666	690	904	922
0	er	O	O	-	0	692	723	909	920
0	ins	O	O	-	0	733	756	904	919
0	Elyſée	B-LOC	O	Q188190	0	158	207	923	942
0	und	O	O	-	0	220	248	924	939
0	legte	O	O	-	0	264	299	924	940
0	ſein	O	O	-	0	313	340	923	940
0	Portefeuille	O	O	-	0	355	445	923	942
0	in	O	O	-	0	461	475	923	939
0	Grevys	B-PER	O	Q296083	0	490	546	923	942
0	Hände	O	O	-	0	557	606	923	942
0	zurück	O	O	-	0	621	671	923	942
0	.	O	O	-	0	621	671	923	942
